order,url,name_cn,date,score,total_votes,cover_large,tags,characters
182,https://bgm.tv/subject/218711,DARLING in the FRANXX,2018-01-13,6.2,14552,https://lain.bgm.tv/pic/cover/l/77/dd/218711_5Z5t1.jpg,A-1Pictures;原创;TRIGGER;2018年1月;TV;机战;科幻;锦织敦史;今石洋之;恋爱;2018;萝卜;錦織敦史;田中将贺;战斗;林直孝;日本;国家队;CloverWorks;赤井俊文;A-1_Pictures;机甲;02;烂尾;奇幻;2018年;青春;热血;DARLING;半年番,广;02;五郎;莓;纯位数;未来;满;心;太;郁乃;维尔纳·弗兰克;卡丽娜·米尔扎
183,https://bgm.tv/subject/4019,四叠半神话大系,2010-04-22,8.6,15220,https://lain.bgm.tv/pic/cover/l/7f/c6/4019_f34f4.jpg,汤浅政明;MADHouse;森见登美彦;TV;小说改;平行宇宙;另类空想;2010年4月;轮回;2010;神作;坂本真綾;科幻;noitaminA;日本;校园;青春;奇幻;轻小说改;湯浅政明;恋爱;SF;轻改;日常;人生;森見登美彦;坂本真绫;2010年;Mad-house;四叠半神话大系,我;小津;明石;樋口清太郎;羽贯凉子;城崎先辈;相岛;香织;乔尼;寿老人／李白;旧书市集之神
184,https://bgm.tv/subject/277954,我的青春恋爱物语果然有问题 完,2020-07-09,6.7,11981,https://lain.bgm.tv/pic/cover/l/ba/69/277954_s8qHA.jpg,恋爱;轻小说改;校园;Feel.;我的青春恋爱物语果然有问题;TV;2020年7月;2020;青春;轻改;春物;小说改;2020年4月;日本;最终季？;党争;日常;大老师;续作;及川啓;渡航;后宫;及川启;2020年;东山奈央;三季;最终季;待上映;早见沙织;大知慶一郎,比企谷八幡;雪之下雪乃;由比滨结衣;一色彩羽;比企谷小町;户冢彩加;叶山隼人;材木座义辉;平冢静;雪之下阳乃;三浦优美子;海老名姫菜
185,https://bgm.tv/subject/441795,我心里危险的东西 第二季,2024-01-06,8.3,13588,https://lain.bgm.tv/pic/cover/l/ba/7e/441795_q6Sc3.jpg,恋爱;校园;纯爱;2024年1月;漫画改;牛尾宪辅;TV;日常;SHIN-EI;2024;漫改;治愈;我內心的糟糕念頭;续作;日本;赤城博昭;花田十辉;青春;搞笑;神作;羊宮妃那;我心里危险的东西;シンエイ動画;羊宫妃那;2024年;花田十輝;神中神;神;季番;狗粮,山田杏奈;市川京太郎;小林千寻;关根萌子;吉田芹那;足立翔;神崎健太;太田力;原穂乃香;市川香菜;南条晴矢;金生谷伦
186,https://bgm.tv/subject/82572,野良神,2014-01-05,7.1,12220,https://lain.bgm.tv/pic/cover/l/ee/de/82572_PNW44.jpg,BONES;漫画改;2014年1月;战斗;野良神;神谷浩史;TV;骨头社;奇幻;2014;漫改;泽城美雪;福山潤;梶裕贵;内田真礼;搞笑;小野大辅;日本;恋爱;岩崎琢;热血;2014年;田村耕太郎;治愈;妖怪;タムラコータロー;福山润;钉宫理惠;川元利浩;丰崎爱生,夜斗;一岐日和;雪音;小福;大黑;毗沙门;兆麻;天神;野良;蠃蚌;真喻;梅雨
187,https://bgm.tv/subject/404804,天国大魔境,2023-04-01,7.7,14864,https://lain.bgm.tv/pic/cover/l/ba/c9/404804_1sTp8.jpg,Production.I.G;悬疑;2023年4月;漫画改;科幻;TV;战斗;石黒正数;末世;漫改;2023;石黑正数;森大貴;ProductionI.G;日本;森大贵;冒险;公路片;奇幻;NTR;废土;牛尾宪辅;牛尾憲輔;性转;2023年;公路;天国大魔境;Production_I.G;末日;季番,真流;斩子;时雄;瑚那;美美姬;白;九九;杏;鹰;美千花;伊笑;七希
188,https://bgm.tv/subject/68812,物语系列 第二季,2013-07-06,8.2,12996,https://lain.bgm.tv/pic/cover/l/a1/67/68812_QUpB2.jpg,新房昭之;物语系列;西尾维新;SHAFT;轻小说改;2013年7月;TV;神谷浩史;2013;后宫;奇幻;花泽香菜;神前暁;小说改;斋藤千和;物语;轻改;板村智幸;日本;恋爱;校园;吐槽;2013年;神前晓;堀江由衣;日常;搞笑;续作;战斗;井口裕香,阿良良木历;羽川翼;黑羽川;八九寺真宵;千石抚子;忍野忍;战场原黑仪;贝木泥舟;神原骏河;阿良良木火怜;阿良良木月火;影縫余弦
189,https://bgm.tv/subject/126173,ReLIFE,2016-07-01,7.7,12309,https://lain.bgm.tv/pic/cover/l/e0/a2/126173_II0Y1.jpg,恋爱;校园;青春;漫画改;2016年7月;TV;ReLIFE;漫改;2016;TMS;茅野爱衣;治愈;TMS_Entertainment;小野贤章;日本;小坂知;日常;木村良平;搞笑;穿越;科幻;奇幻;横手美智子;纯爱;TMSEntertainment;2016年;催泪;成长;人生;重生,日代千鹤;海崎新太;小野屋杏;夜明了;大神和臣;狩生玲奈;玉来萌香;犬饲晓;犬饲堇;天津心;朝地信长;宇佐浩史
190,https://bgm.tv/subject/234,AIR,2005-01-06,8,13354,https://lain.bgm.tv/pic/cover/l/28/9d/234_hIMht.jpg,key;京阿尼;Air;鸟之诗;催泪;GAL改;TV;2005;催泪弹;国歌;京都动画;游戏改;观铃;嘎哦;恋爱;奇幻;京都;galgame;2005年1月;石原立也;治愈;麻枝准;日本;神作;京都アニメーション;最萌2005推荐;志茂文彦;亲情;日常;2005年,国崎往人;神尾观铃;雾岛佳乃;远野美凪;神奈备命;神尾晴子;雾岛圣;小满;土豆;橘敬介;小空;柳也
191,https://bgm.tv/subject/22505,福音战士新剧场版：Q,2012-11-17,7.4,12373,https://lain.bgm.tv/pic/cover/l/a6/bb/22505_O197k.jpg,剧场版;EVA;庵野秀明;2012;GAINAX;原创;Khara;科幻;EVA新剧场版;庵野秀明八成也看不懂;战斗;坑;看不懂就是神作;机战;基;日本;2012年;萝卜;神作;摩砂雪;鹤卷和哉;前田真宏;新世纪福音战士;林原惠;贞本义行;2012年11月;鶴巻和哉;鷺巣詩郎;新剧场版;继续感动,碇真嗣;渚薰;式波·明日香·兰格雷;葛城美里;赤木律子;伊吹摩耶;冬月耕造;日向诚;青叶茂;碇源堂;真希波·玛丽·伊兰崔亚斯;绫波零（暂定名）
