rank,source_page,source_page_start,subject_id,subject_url,title,cover_url,abstract,abstract_2,rating,rating_count,star_count,labels,is_tv,tpl_name,search_url,parse_source
22,1,0,24397586,https://movie.douban.com/subject/24397586/,小羊肖恩 (2015),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2249261202.webp,英国 / 法国 / 喜剧 / 动画 / 冒险 / 小羊肖恩大电影 / 超级无敌羊咩咩大电影之咩最劲(港) / 笑笑羊大电影(台) / 超级无敌羊咩咩 电影版 / 笑笑羊 电影版 / 85分钟,马克·伯顿 / 理查德·斯塔扎克 / 贾斯汀·弗莱彻 / 约翰·斯帕克斯 / 欧米德·吉亚李利 / 理查德·韦伯 / 凯特·哈伯 / 安迪·尼曼,8.4,122245,4.0,['可播放'],False,search_subject,https://www.douban.com/search?cat=1002&q=%E5%B0%8F%E7%BE%8A%E8%82%96%E6%81%A9,playwright
23,3,30,1431683,https://movie.douban.com/subject/1431683/,蜡笔小新 クレヨンしんちゃん‎ (1992),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510330984.webp,日本 / 喜剧 / 动画 / 家庭 / Kureyon Shin-chan / 24分钟,本乡满 / 高桥涉 / 原惠一 / 水岛努 / 武藤裕治 / 矢岛晶子 / 小林由美子 / 楢桥美纪 / 藤原启治 / 森川智之 / 兴梠里美 / 真柴摩利 / 林玉绪,9.3,121370,4.5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=30,window.__DATA__
24,2,15,10772258,https://movie.douban.com/subject/10772258/,麦兜·当当伴我心 麥兜‧噹噹伴我心‎ (2012),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2454027095.webp,中国大陆 / 中国香港 / 喜剧 / 动画 / 腰花伴菜芯 / 麦兜故事5 / 80分钟,谢立文 / 黄秋生 / 吴君如 / 胡歌 / 郑中基 / 许飞,8.5,121240,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=15,window.__DATA__
25,3,30,1431699,https://movie.douban.com/subject/1431699/,三个和尚‎ (1980),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1463972087.webp,中国大陆 / 动画 / 短片 / Three Monks / 20分钟,徐景达,8.9,121164,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=30,window.__DATA__
26,3,30,1465035,https://movie.douban.com/subject/1465035/,魔卡少女樱 カードキャプターさくら‎ (1998),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2361563805.webp,日本 / 动画 / 动作 / 冒险 / 喜剧 / 百变小樱魔术卡 / 库洛魔法使 / 25分钟,浅香守生 / 神户守 / 片渊须直 / 田中洋之 / 坂田纯一 / 高柳滋仁 / 政木伸一 / 中西伸彰 / 佐伯昭志 / 真野玲 / 水野和则 / 山口赖房 / 八谷贤一 / 长滨亘彦 / 松井仁之 / 三家本泰美 / 安藤健 / 三笠修 / 高濑节夫 / 桥本直人 / 富永恒雄 / 丹下樱 / 岩男润子 / 久川绫 / 小野坂昌也 / 熊井统子 / 绪方惠美 / 关智一 / 田中秀幸,9.2,121150,4.5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=30,window.__DATA__
27,3,30,1860377,https://movie.douban.com/subject/1860377/,黑猫警长‎ (1984),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2528877467.webp,中国大陆 / 动画 / 悬疑 / Inspector Black Cat / 20分钟,戴铁郎 / 范马迪 / 熊南清 / 史东敏 / 王卫 / 张泉灵 / 杨文元 / 杨玉天 / 范楚绒 / 战车 / 黄翔,8.9,117439,4.5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=30,window.__DATA__
28,1,0,2264567,https://movie.douban.com/subject/2264567/,迪迦奥特曼 ウルトラマンティガ‎ (1996),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2533388717.webp,日本 / 动作 / 冒险 / 奇幻 / 科幻 / 超人迪加 / 迪迦·奥特曼 / 30分钟,松原信吾 / 村石宏实 / 川崎乡太 / 冈田宁 / 神泽信一 / 北浦嗣巳 / 原田昌树 / 石井辉仪 / 实相寺昭雄 / 满田穧 / 长野博 / 吉本多香美 / 高树澪 / 大泷明利 / 影丸茂樹 / 增田由纪夫 / 古屋畅一 / 川地民夫,9.6,114753,5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
29,4,45,2159331,https://movie.douban.com/subject/2159331/,蓝精灵 The Smurfs‎ (2011),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p884990120.webp,美国 / 比利时 / 喜剧 / 动画 / 奇幻 / 蓝色小精灵(台) / 蓝精灵 / 103分钟,拉加·高斯内尔 / 尼尔·帕特里克·哈里斯 / 杰玛·梅斯 / 汉克·阿扎利亚 / 乔纳森·温特斯 / 凯蒂·派瑞 / 艾伦·卡明 / 乔治·洛佩兹 / 保罗·雷宾斯,7.3,110899,3.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=45,window.__DATA__
30,4,45,1465037,https://movie.douban.com/subject/1465037/,樱桃小丸子 ちびまる子ちゃん‎ (1990),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2347386817.webp,日本 / 动画 / 喜剧 / 剧情 / 家庭 / Chibi Maruko-chan / 樱桃小丸子 / 23分钟,芝山努 / 棚桥一德 / 楠叶宏三 / 佐藤龙雄 / 高木淳 / 高松信司 / 小林常夫 / 宫下新平 / 片渊须直 / 西田健一 / 鳕子 / 水谷优子 / 一龙斋贞友 / 屋良有作 / 富山敬 / 青野武 / 岛田敏 / 佐佐木优子,9.2,110507,4.5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=45,window.__DATA__
31,3,30,3335371,https://movie.douban.com/subject/3335371/,小蝌蚪找妈妈‎ (1960),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2250602634.webp,中国大陆 / 动画 / 短片 / Baby Tadpoles Look for Their Mother / 15分钟,特伟 / 钱家骏 / 唐澄,8.9,107734,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=30,window.__DATA__
